Всего   Положительных   Отрицательных   Персона
0	    0(0.0%)	        0(0.0%)	        Кошкарев Илья Альбертович
0	    0(0.0%)	        0(0.0%)	        Чупахина Анна Дмитриевна
0	    0(0.0%)	        0(0.0%)	        Бахин Валерий Викторович
0	    0(0.0%)	        0(0.0%)	        Султанов Махсуд Мансурович
0	    0(0.0%)	        0(0.0%)	        Бухтина Татьяна Петровна
0	    0(0.0%)	        0(0.0%)	        Торбин Сергей Пантелеевич
0	    0(0.0%)	        0(0.0%)	        Федюшкин Сергей Викторович
0	    0(0.0%)	        0(0.0%)	        Горелова Светлана Алексеевна
0	    0(0.0%)	        0(0.0%)	        Скрипник Вадим
0	    0(0.0%)	        0(0.0%)	        Гречина Валентина Николаевна
0	    0(0.0%)	        0(0.0%)	        Горняков Сергей Васильевич
0	    0(0.0%)	        0(0.0%)	        Ягупов Иван
0	    0(0.0%)	        0(0.0%)	        Сиваков Александр
0	    0(0.0%)	        0(0.0%)	        Топольский Константин
0	    0(0.0%)	        0(0.0%)	        Стульников Андрей
0	    0(0.0%)	        0(0.0%)	        Акчурин Гаяз Талгатьевич
0	    0(0.0%)	        0(0.0%)	        Харичкин Евгений Альбертович
0	    0(0.0%)	        0(0.0%)	        Оголь Елена Михайловна
0	    0(0.0%)	        0(0.0%)	        Дильман Дмитрий Александрович
0	    0(0.0%)	        0(0.0%)	        Милюков Олег Александрович
0	    0(0.0%)	        0(0.0%)	        Коротков
0	    0(0.0%)	        0(0.0%)	        Таев Андрей Георгиевич
0	    0(0.0%)	        0(0.0%)	        Удахин
0	    0(0.0%)	        0(0.0%)	        Гузев Антон Михайлович
0	    0(0.0%)	        0(0.0%)	        Гишларкаев Ерагий Исаевич
0	    0(0.0%)	        0(0.0%)	        Никуйко Ирина Борисовна
0	    0(0.0%)	        0(0.0%)	        Русаев Владимир
0	    0(0.0%)	        0(0.0%)	        Моложавенко Александр Павлович
0	    0(0.0%)	        0(0.0%)	        Якунин
0	    0(0.0%)	        0(0.0%)	        Попов Владимир Георгиевич
0	    0(0.0%)	        0(0.0%)	        Григоров Дмитрий Николаевич
0	    0(0.0%)	        0(0.0%)	        Струк Владимир Николаевич
0	    0(0.0%)	        0(0.0%)	        Булдыгин Игорь Владимирович
0	    0(0.0%)	        0(0.0%)	        Гайдым Игорь Валерьевич
0	    0(0.0%)	        0(0.0%)	        Чунаков Александр Иванович
0	    0(0.0%)	        0(0.0%)	        Гордин Владимир
0	    0(0.0%)	        0(0.0%)	        Куприков Андрей Александрович
0	    0(0.0%)	        0(0.0%)	        Карева Ирина Александровна
0	    0(0.0%)	        0(0.0%)	        Керсанов Олег Владимирович
0	    0(0.0%)	        0(0.0%)	        Боженов Сергей
0	    0(0.0%)	        0(0.0%)	        Бровко Анатолий Григорьевич
0	    0(0.0%)	        0(0.0%)	        Игумов Юрий Александрович
0	    0(0.0%)	        0(0.0%)	        Лучина Светлана Валерьевна
0	    0(0.0%)	        0(0.0%)	        Самохина Ирина Олеговна
0	    0(0.0%)	        0(0.0%)	        Скородько Таисия Ивановна
0	    0(0.0%)	        0(0.0%)	        Лукашевич Елена Николаевна
0	    0(0.0%)	        0(0.0%)	        Гусейнова Инна Гусейновна
0	    0(0.0%)	        0(0.0%)	        Гаушкин Владимир Тимофеевич
0	    0(0.0%)	        0(0.0%)	        Соколов Федор Павлович
0	    0(0.0%)	        0(0.0%)	        Стефаненко Игорь Владимирович
0	    0(0.0%)	        0(0.0%)	        Галушкин Василий Иванович
0	    0(0.0%)	        0(0.0%)	        Созаруков Роман Каримович
0	    0(0.0%)	        0(0.0%)	        Музраев Михаил Кандуевич
0	    0(0.0%)	        0(0.0%)	        Беляк Леонид Леонтьевич
0	    0(0.0%)	        0(0.0%)	        Щур Евгений Алексеевич
0	    0(0.0%)	        0(0.0%)	        Шелкунов Сергей Викторович
0	    0(0.0%)	        0(0.0%)	        Черняева Тамара Николаевна
0	    0(0.0%)	        0(0.0%)	        Херианов Роланд Тамазович
0	    0(0.0%)	        0(0.0%)	        Трубина Наталья Витальевна
0	    0(0.0%)	        0(0.0%)	        Титова Светлана Эдуардовна
0	    0(0.0%)	        0(0.0%)	        Соловьева
0	    0(0.0%)	        0(0.0%)	        Сгибнев
0	    0(0.0%)	        0(0.0%)	        Просвиров Виталий Владимирович
0	    0(0.0%)	        0(0.0%)	        Орлова Ольга Ивановна
0	    0(0.0%)	        0(0.0%)	        Мордвинцев Александр Иванович
0	    0(0.0%)	        0(0.0%)	        Кувычко Анна Александровна
0	    0(0.0%)	        0(0.0%)	        Кляузов Валентин Иванович
0	    0(0.0%)	        0(0.0%)	        Кияев Василий Никифорович
0	    0(0.0%)	        0(0.0%)	        Зверев Алексей Викторович
0	    0(0.0%)	        0(0.0%)	        Забеднов Сергей Петрович
0	    0(0.0%)	        0(0.0%)	        Егорова Галина Викторовна
0	    0(0.0%)	        0(0.0%)	        Девятов Михаил Михайлович
0	    0(0.0%)	        0(0.0%)	        Горячевский Георгий Владимирович
0	    0(0.0%)	        0(0.0%)	        Горбанов Андрей Павлович
0	    0(0.0%)	        0(0.0%)	        Вознесенская
0	    0(0.0%)	        0(0.0%)	        Васильков Валерий Денисович
0	    0(0.0%)	        0(0.0%)	        Василенко Владимир Викторович
0	    0(0.0%)	        0(0.0%)	        Бровко Владимир Владимирович
0	    0(0.0%)	        0(0.0%)	        Благославов Борис Николаевич
0	    0(0.0%)	        0(0.0%)	        Арефьева Вера Ивановна
0	    0(0.0%)	        0(0.0%)	        Сизов Юрий Иванович
0	    0(0.0%)	        0(0.0%)	        Максюта Николай Кириллович
0	    0(0.0%)	        0(0.0%)	        Свидров Александр Николаевич
0	    0(0.0%)	        0(0.0%)	        Белицкий Александр Дмитриевич
0	    0(0.0%)	        0(0.0%)	        Гребенников Роман Георгиевич
